Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
"Klara Castanho, Lucca Picon, JÃºlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",,22-09-2021,"When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",Bruno Garotti,91 min,"Children & Family Movies, Comedies",TV-PG,2021,s14,Confessions of an Invisible Girl,Movie
,,22-09-2021,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,,1 Season,"British TV Shows, Crime TV Shows, Docuseries",TV-MA,2021,s15,Crime Stories: India Detectives,TV Show
"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,22-09-2021,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",,4 Seasons,"TV Comedies, TV Dramas",TV-MA,2021,s16,Dear White People,TV Show
,,22-09-2021,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.","Pedro de Echave GarcÃ­a, Pablo AzorÃ­n Williams",67 min,"Documentaries, International Movies",TV-MA,2020,s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie
"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo YÃ¡Ã±ez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, GÃ©raldine BazÃ¡n, Gabriela Roel, Marcus Ornellas",Mexico,22-09-2021,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,2020,s18,Falsa identidad,TV Show
"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",,22-09-2021,"After a deadly home invasion at a coupleâ€™s new dream house, the traumatized wife searches for answers â€” and learns the real danger is just beginning.",Adam Salky,94 min,Thrillers,TV-14,2021,s19,Intrusion,Movie
"Blanca SuÃ¡rez, IvÃ¡n Marcos, Ã“scar Casas, AdriÃ¡n Lastra, Francesc Garrido, Stefan Weinert, Julia MÃ¶ller, Alicia Chojnowski",,22-09-2021,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",TV-MA,2021,s20,Jaguar,TV Show
,,22-09-2021,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",Olivier Megaton,1 Season,"Crime TV Shows, Docuseries, International TV Shows",TV-14,2021,s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show
"Engin Altan DÃ¼zyatan, Serdar GÃ¶khan, HÃ¼lya Darcan, Kaan TaÅŸaner, Esra BilgiÃ§, Osman Soykut, Serdar Deniz, Cengiz CoÅŸkun, Reshad Strik, Hande SubaÅŸÄ±",Turkey,22-09-2021,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",TV-14,2018,s22,Resurrection: Ertugrul,TV Show
"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",,21-09-2021,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",K.S. Ravikumar,161 min,"Comedies, International Movies",TV-PG,1996,s23,Avvai Shanmughi,Movie
"Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",,21-09-2021,"From arcade games to sled days and hiccup cures, Cory Carsonâ€™s curious little sister Chrissy speeds off on her own for fun and adventure all over town!","Alex Woo, Stanley Moore",61 min,Children & Family Movies,TV-Y,2021,s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie
"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,21-09-2021,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",S. Shankar,166 min,"Comedies, International Movies, Romantic Movies",TV-14,1998,s25,Jeans,Movie
Brooke Satchwell,Australia,21-09-2021,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",,2 Seasons,"Docuseries, International TV Shows, Reality TV",TV-14,2021,s26,Love on the Spectrum,TV Show
"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",,21-09-2021,A tangled love triangle ensues when a man falls for a woman studying to become a nun â€” and she falls for the friend he enlists to help him pursue her.,Rajiv Menon,147 min,"Comedies, International Movies, Music & Musicals",TV-PG,1997,s27,Minsara Kanavu,Movie
"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,20-09-2021,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Dennis Dugan,103 min,Comedies,PG-13,2010,s28,Grown Ups,Movie
"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,19-09-2021,"A familyâ€™s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",Scott Stewart,97 min,"Horror Movies, Sci-Fi & Fantasy",PG-13,2013,s29,Dark Skies,Movie
"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France",19-09-2021,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Robert Luketic,106 min,Thrillers,PG-13,2013,s30,Paranoia,Movie
"Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",,17-09-2021,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.","Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",111 min,"Dramas, Independent Movies, International Movies",TV-14,2021,s31,Ankahi Kahaniya,Movie
"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",,17-09-2021,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â€” and a soft spot for her soul-searching nephew.,,1 Season,TV Comedies,TV-MA,2021,s32,Chicago Party Aunt,TV Show
"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,17-09-2021,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",TV-MA,2020,s33,Sex Education,TV Show
"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",,17-09-2021,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â€” with deadly high stakes.",,1 Season,"International TV Shows, TV Dramas, TV Thrillers",TV-MA,2021,s34,Squid Game,TV Show
"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,17-09-2021,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,,1 Season,Kids' TV,TV-Y7,2020,s35,Tayo and Little Wizards,TV Show
"Adrian Titieni, Elena Purea, Judith State, Valeriu AndriuÈ›Äƒ, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",,17-09-2021,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â€” and risk everything â€” to find him.",Daniel Sandu,110 min,"Dramas, International Movies, Thrillers",TV-MA,2021,s36,The Father Who Moves Mountains,Movie
"Gilles Lellouche, Karim Leklou, FranÃ§ois Civil, AdÃ¨le Exarchopoulos, Kenza Fortas, Cyril Lecomte, MichaÃ«l Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",,17-09-2021,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",CÃ©dric Jimenez,105 min,"Action & Adventure, Dramas, International Movies",TV-MA,2021,s37,The Stronghold,Movie
"Antti PÃ¤Ã¤kkÃ¶nen, HeljÃ¤ Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,16-09-2021,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",,1 Season,"Kids' TV, TV Comedies",TV-Y7,2018,s38,Angry Birds,TV Show
"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States",16-09-2021,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",George Nolfi,96 min,"Action & Adventure, Dramas",PG-13,2017,s39,Birth of the Dragon,Movie
"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,16-09-2021,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",,3 Seasons,Kids' TV,TV-Y7,2021,s40,Chhota Bheem,TV Show
"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,16-09-2021,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â€” and their destiny to defend Eternia from sinister Skeletor.,,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",TV-Y7,2021,s41,He-Man and the Masters of the Universe,TV Show
"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,16-09-2021,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",Steven Spielberg,124 min,"Action & Adventure, Classic Movies, Dramas",PG,1975,s42,Jaws,Movie
"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,16-09-2021,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",Jeannot Szwarc,116 min,"Dramas, Horror Movies, Thrillers",PG,1978,s43,Jaws 2,Movie
"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,16-09-2021,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",Joe Alves,98 min,"Action & Adventure, Horror Movies, Thrillers",PG,1983,s44,Jaws 3,Movie
"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,16-09-2021,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â€“ but a great white shark follows her there.",Joseph Sargent,91 min,"Action & Adventure, Horror Movies, Thrillers",PG-13,1987,s45,Jaws: The Revenge,Movie
,,16-09-2021,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Tyler Greco,23 min,Documentaries,PG,2021,s46,My Heroes Were Cowboys,Movie
"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, RubÃ©n Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan",16-09-2021,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Daniel Espinosa,115 min,Action & Adventure,R,2012,s47,Safe House,Movie
"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,16-09-2021,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",Bunmi Ajakaiye,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,2020,s48,The Smart Money Woman,TV Show
"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,16-09-2021,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,Antoine Fuqua,122 min,"Dramas, Thrillers",R,2001,s49,Training Day,Movie
"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,15-09-2021,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",,2 Seasons,"International TV Shows, TV Dramas",TV-MA,2021,s50,Castle and Castle,TV Show
"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,15-09-2021,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-PG,2014,s51,Dharmakshetra,TV Show
"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,15-09-2021,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",Toshiya Shinohara,99 min,"Action & Adventure, Anime Features, International Movies",TV-14,2002,s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie
"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,15-09-2021,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,Toshiya Shinohara,99 min,"Action & Adventure, Anime Features, International Movies",TV-14,2003,s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie
"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,15-09-2021,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",Toshiya Shinohara,88 min,"Action & Adventure, Anime Features, International Movies",TV-PG,2004,s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie
"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,15-09-2021,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",Toshiya Shinohara,100 min,"Action & Adventure, Anime Features, International Movies",TV-PG,2001,s55,InuYasha the Movie: Affections Touching Across Time,Movie
"Nicole Byer, Jacques Torres",United States,15-09-2021,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",,6 Seasons,Reality TV,TV-PG,2021,s56,Nailed It,TV Show
"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,15-09-2021,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",Masahiko Murata,102 min,"Action & Adventure, Anime Features, International Movies",TV-14,2011,s57,Naruto Shippuden the Movie: Blood Prison,Movie
"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,15-09-2021,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",Hajime Kamegaki,93 min,"Action & Adventure, Anime Features, International Movies",TV-PG,2008,s58,Naruto ShippÃ»den the Movie: Bonds,Movie
"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,15-09-2021,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",Masahiko Murata,96 min,"Action & Adventure, Anime Features, International Movies",TV-PG,2009,s59,Naruto ShippÃ»den the Movie: The Will of Fire,Movie
"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,15-09-2021,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â€“ but to do so, he must die.",Hajime Kamegaki,95 min,"Action & Adventure, Anime Features, International Movies",TV-PG,2007,s60,Naruto Shippuden: The Movie,Movie
"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,15-09-2021,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",Masahiko Murata,85 min,"Action & Adventure, Anime Features, International Movies",TV-14,2010,s61,Naruto Shippuden: The Movie: The Lost Tower,Movie
"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,15-09-2021,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",Hirotsugu Kawasaki,97 min,"Action & Adventure, Anime Features, International Movies",TV-PG,2005,s62,Naruto the Movie 2: Legend of the Stone of Gelel,Movie
"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,15-09-2021,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",Toshiyuki Tsuru,95 min,"Action & Adventure, Anime Features, International Movies",TV-PG,2006,s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie
"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,15-09-2021,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",Tensai Okamura,83 min,"Action & Adventure, Anime Features, International Movies",TV-PG,2004,s64,Naruto the Movie: Ninja Clash in the Land of Snow,Movie
"Winslow Fegley, Lidya Jewett, Krysten Ritter",,15-09-2021,Scary story fan Alex must tell a spine-tingling tale every night â€” or stay trapped with his new friend in a wicked witch's magical apartment forever.,David Yarovesky,103 min,Children & Family Movies,TV-PG,2021,s65,Nightbooks,Movie
"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",United Kingdom,15-09-2021,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",,6 Seasons,Kids' TV,TV-Y,2021,s66,Numberblocks,TV Show
,India,15-09-2021,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",,1 Season,"Docuseries, International TV Shows",TV-G,2014,s67,Raja Rasoi Aur Anya Kahaniyan,TV Show
"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",United States,15-09-2021,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",,9 Seasons,"Kids' TV, TV Comedies",TV-PG,1994,s68,Saved by the Bell,TV Show
